key,title,期間増加PV,期間増加スキ,稼働日数,推移PV,集計日
nd7e8d8d1f696,コラボしても初日は普通やった。でも翌日が全然ちがう話｜note実験｜,104,8,6,54→26→7→8→4→1→4,2026-03-22
n07197895a3e9,「群衆で構成された巨大な○○」をもっと自由に作る｜動物・神話生物・シンボル編｜Midjourney｜構造化｜プロンプト|,74,3,6,22→15→12→9→10→2→4,2026-03-22
n5f594f849c4b,noteの「初速スキ」とバズはほんまに関係あるんか？|Note運営|データ分析|,58,2,6,25→11→3→3→11→2→3,2026-03-22
nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ,57,18,6,14→14→1→4→7→10→7,2026-03-22
n53ddb87df48b,コピペでイチコロ。「アップスケールなめててごめん」イラストを実写化するプロンプト全公開,36,0,6,9→5→3→3→6→2→8,2026-03-22
nc050f21065a6,これは事故か、作品か。｜イラスト｜アート｜生成AI｜,36,7,6,10→7→8→3→2→3→3,2026-03-22
ne2bb6d38c4e3,Noteの閲覧数・スキ数を自動で収集する方法｜GitHub｜クリエイター支援｜データ分析｜Note運営｜,26,0,6,10→2→2→3→1→4→4,2026-03-22
n0cd6640704fd,noteダッシュボードを“見る画面”から“眺めたくなる画面”にしてみた｜note運営｜データ分析｜,24,0,6,3→3→4→3→4→4→3,2026-03-22
n51c3a89314e6,プレゼン作成の「苦行」、終わらせよ。社内AI × VS Code × Marpで“爆速パワポ”を作る,18,0,6,2→1→3→3→6→2→1,2026-03-22
nab59db8b2331,小人の世界が、やっとつながりはじめた｜AIアート｜AIイラスト｜生成AI｜,18,5,6,7→1→3→3→1→1→2,2026-03-22
nee2cf5453f61,初期の実写を掘り返したら、まだ普通に好きやった｜AIアート｜創作｜,15,1,6,4→1→3→1→2→2→2,2026-03-22
n431998ad8a2f,AIを「予約」する時代が来た！？GeminiのScheduled Actions攻略,14,0,6,1→2→3→3→1→3→1,2026-03-22
n8a465fd66c5f,投資家って何者なん？を理解するとIRが、ちょっと面白くなる ｜株式投資｜IR｜,14,2,6,3→2→2→1→3→1→2,2026-03-22
ne42952207820,note運営を“感覚”から“見える化”へ｜GitHub Pagesでダッシュボードを作る｜データ分析｜,30,1,5,4→6→7→4→0→3→6,2026-03-22
n6293052c90d8,noteのViewが伸びる『仕組み』を33記事のログで検証｜フォロワー数は打ち上げ台｜飛距離は記事の設計次第｜,28,2,5,9→4→4→3→0→3→5,2026-03-22
n6a60dcb7331c,【AIイラスト】記事サムネの振り返り｜2026年2月の制作ログ｜イラスト｜アート｜サムネ｜,24,0,5,2→0→2→1→6→4→9,2026-03-22
n0f919ece03f2,【自己紹介】データ×生成AIで遊ぶログプレイヤー｜note運営｜プロンプト設計｜はじめてのnote｜自己紹介,21,1,5,2→2→0→3→3→10→1,2026-03-22
nc6a83f270ae6,【無料公開】Nano Banana Pro キャラクターシート生成プロンプト集,21,0,5,4→3→6→2→3→3→0,2026-03-22
