日付,ビュー合計,スキ合計,記事数,ビュー/記事,スキ/記事,スキ率(%),ビュー前日比(%),スキ前日比(%),スキ率前日比(%),フォロワー数,更新時刻
2025/11/15,16332,1086,126,129.6190476,8.619047619,6.64952241,0,0,0,,0
2025/11/16,16916,1135,128,132.15625,8.8671875,6.709624025,3.575802106,4.511970534,0.9038485908,,0
2025/11/17,17185,1169,130,132.1923077,8.992307692,6.802443992,1.590210452,2.995594714,1.383385521,,0
2025/11/18,17662,1209,132,133.8030303,9.159090909,6.845204394,2.775676462,3.421727973,0.6286035109,,0
2025/11/19,17887,1230,133,134.4887218,9.248120301,6.876502488,1.273921413,1.736972705,0.4572265841,,0
2025/11/20,18163,1256,135,134.5407407,9.303703704,6.915157188,1.54302007,2.113821138,0.5621273302,,0
2025/11/21,18621,1309,137,135.919708,9.554744526,7.029697653,2.521609866,4.219745223,1.656368212,,0
2025/11/22,18942,1347,139,136.2733813,9.690647482,7.111181501,1.723860158,2.902979374,1.159137309,,20:38:28
2025/11/23,19144,1379,140,136.7428571,9.85,7.203301295,1.066413262,2.375649592,1.29542178,,22:52:23
2025/11/24,19412,1417,142,136.7042254,9.978873239,7.29960849,1.399916423,2.755620015,1.336986893,,22:40:35
2025/11/25,19724,1449,143,137.9300699,10.13286713,7.346380045,1.607253245,2.258292167,0.6407405971,,23:36:03
2025/11/26,19959,1487,144,138.6041667,10.32638889,7.45027306,1.191441898,2.622498275,1.414206923,,22:47:32
2025/11/27,20240,1525,145,139.5862069,10.51724138,7.53458498,1.407886167,2.555480834,1.131662152,,21:41:42
2025/11/28,20479,1548,146,140.2671233,10.60273973,7.55896284,1.18083004,1.508196721,0.3235461516,,21:27:09
2025/11/29,20810,1580,148,140.6081081,10.67567568,7.592503604,1.616289858,2.067183463,0.4437217746,,16:32:07
2025/11/30,21296,1620,150,141.9733333,10.8,7.607062359,2.335415666,2.53164557,0.1917517047,,19:32:27
2025/12/1,21805,1678,153,142.5163399,10.96732026,7.695482687,2.39012021,3.580246914,1.162345254,,20:57:44
2025/12/2,22247,1728,155,143.5290323,11.1483871,7.767339417,2.027058014,2.979737783,0.9337520726,,20:55:59
2025/12/3,22676,1765,156,145.3589744,11.31410256,7.783559711,1.92834989,2.141203704,0.2088269005,,21:25:05
2025/12/4,23301,1812,158,147.4746835,11.46835443,7.776490279,2.756218028,2.662889518,-0.09082516975,,22:34:04
2025/12/5,23546,1827,159,148.0880503,11.49056604,7.759279708,1.051457019,0.8278145695,-0.221315413,,17:44:34
2025/12/6,24097,1861,161,149.6708075,11.55900621,7.722953065,2.340100229,1.860974275,-0.4681703003,,18:17:41
2025/12/7,24840,1905,166,149.6385542,11.47590361,7.669082126,3.083371374,2.364320258,-0.6975432667,,21:32:51
2025/12/8,25338,1932,167,151.7245509,11.56886228,7.624911201,2.004830918,1.417322835,-0.5759610383,,18:42:12
2025/12/9,25822,1979,168,153.702381,11.7797619,7.664007436,1.910174442,2.432712215,0.5127434789,,22:26:09
2025/12/10,26179,2008,170,153.9941176,11.81176471,7.670270064,1.382542018,1.465386559,0.081714799,,21:16:05
2025/12/11,26567,2039,171,155.3625731,11.92397661,7.67493507,1.482103976,1.543824701,0.06081931918,,21:49:05
2025/12/12,27117,2070,173,156.7456647,11.96531792,7.633587786,2.070237513,1.520353114,-0.5387313793,,19:36:17
2025/12/13,27288,2081,173,157.734104,12.02890173,7.626062738,0.6306007302,0.5314009662,-0.09857812958,,9:15:25
2025/12/14,28167,2146,176,160.0397727,12.19318182,7.618844747,3.22119613,3.123498318,-0.09464898268,,20:28:04
2025/12/15,28635,2177,178,160.8707865,12.23033708,7.60258425,1.661518799,1.444547996,-0.2134247106,,21:27:55
2025/12/16,28958,2217,179,161.7765363,12.38547486,7.655915464,1.127990222,1.837390905,0.7014879675,,20:28:33
2025/12/17,29226,2234,180,162.3666667,12.41111111,7.643878738,0.9254782789,0.7668019847,-0.1572212457,,19:22:24
2025/12/18,29932,2278,183,163.5628415,12.44808743,7.61058399,2.415657291,1.969561325,-0.4355739916,,21:00:16
2025/12/19,30362,2304,184,165.0108696,12.52173913,7.58843291,1.436589603,1.141352063,-0.291056256,,21:46:12
2025/12/20,31058,2393,187,166.0855615,12.79679144,7.704939146,2.292339108,3.862847222,1.535313522,,20:51:04
2025/12/21,31295,2415,188,166.462766,12.84574468,7.716887682,0.7630884152,0.9193480986,0.155076314,,16:59:54
2025/12/22,31866,2489,189,168.6031746,13.16931217,7.810832863,1.824572615,3.064182195,1.217397282,,20:27:29
2025/12/23,32176,2542,190,169.3473684,13.37894737,7.900298359,0.9728236992,2.129369225,1.145402776,,20:04:24
2025/12/24,32512,2596,191,170.2198953,13.59162304,7.984744094,1.044256589,2.124311566,1.068892991,,22:01:25
2025/12/25,33044,2667,193,171.2124352,13.81865285,8.071056773,1.636318898,2.734976888,1.080969876,,20:20:52
2025/12/27,33549,2726,195,172.0461538,13.97948718,8.125428478,1.528265343,2.212223472,0.6736627742,,15:14:03
2025/12/28,34132,2788,197,173.2588832,14.15228426,8.168287824,1.737756714,2.274394718,0.5274718264,,20:36:37
2025/12/29,34414,2820,198,173.8080808,14.24242424,8.194339513,0.8262041486,1.147776184,0.3189369646,,19:37:52
2025/12/31,34817,2936,199,174.959799,14.75376884,8.432662205,1.171035044,4.113475177,2.908381961,,6:39:24
