date,period_label,impression,page_view,like,comment,article_rows,fetched_at,view_rate_pct,reaction_rate_pct,comment_rate_pct
2026-09-07,2026年9月7日,13193,424,134,12,241,2026-09-08T21:53:01+09:00,3.21,34.43,2.83
2026-09-08,2026年9月8日,33522,691,179,14,220,2026-09-09T06:22:15+09:00,2.06,27.93,2.03
2026-09-09,2026年9月9日,38400,825,173,59,232,2026-09-10T06:07:17+09:00,2.15,28.12,7.15
2026-09-10,2026年9月10日,32125,639,119,23,250,2026-09-11T06:05:50+09:00,1.99,22.22,3.60
2026-09-11,2026年9月11日,13829,521,119,31,234,2026-09-12T06:11:10+09:00,3.77,28.79,5.95
2026-09-12,2026年9月12日,20126,780,203,39,312,2026-09-13T05:48:03+09:00,3.88,31.03,5.00
2026-09-13,2026年9月13日,23021,936,235,86,445,2026-09-14T06:04:33+09:00,4.07,34.29,9.19
2026-09-14,2026年9月14日,18673,797,179,38,272,2026-09-15T07:01:34+09:00,4.27,27.23,4.77
2026-09-15,2026年9月15日,14841,603,126,47,319,2026-09-16T06:38:21+09:00,4.06,28.69,7.79
2026-09-16,2026年9月16日,12560,627,137,69,228,2026-09-17T06:34:53+09:00,4.99,32.85,11.00
2026-09-17,2026年9月17日,11241,619,147,20,262,2026-09-18T06:38:06+09:00,5.51,26.98,3.23
2026-09-18,2026年9月18日,9583,493,117,22,214,2026-09-19T06:08:54+09:00,5.14,28.19,4.46
2026-09-19,2026年9月19日,11048,486,114,23,525,2026-09-20T05:57:44+09:00,4.40,28.19,4.73
2026-09-20,2026年9月20日,11691,463,135,20,264,2026-09-21T06:02:58+09:00,3.96,33.48,4.32
2026-09-21,2026年9月21日,12249,539,127,68,233,2026-09-22T07:10:11+09:00,4.40,36.18,12.62
2026-09-22,2026年9月22日,12708,670,186,54,439,2026-09-23T06:36:40+09:00,5.27,35.82,8.06
2026-09-23,2026年9月23日,16958,631,173,64,285,2026-09-24T06:42:46+09:00,3.72,37.56,10.14
2026-09-24,2026年9月24日,1317,32,10,0,88,2026-09-24T06:42:46+09:00,2.43,31.25,0.00
