ranking_type,date,like_user_id,creator_name,creator_urlname,score_daily,score_cumulative,period_start,period_end,generated_at
this_week,2026-04-13,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,15,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-13,2490558,だんだんありがと@めじゅ,dandan_arigato19,78,78,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-13,13140757,雪詠,yukiyomi,20,20,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-13,11583083,夏目羊,hitsuji_natsume,30,30,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-13,12197172,緑どんぐり,green_donguri,13,13,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-14,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,30,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-14,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,86,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-14,13140757,雪詠,yukiyomi,35,55,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-14,11583083,夏目羊,hitsuji_natsume,0,30,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-14,12197172,緑どんぐり,green_donguri,23,36,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-15,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,18,48,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-15,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,94,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-15,13140757,雪詠,yukiyomi,18,73,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-15,11583083,夏目羊,hitsuji_natsume,10,40,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-15,12197172,緑どんぐり,green_donguri,13,49,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-16,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,63,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-16,2490558,だんだんありがと@めじゅ,dandan_arigato19,10,104,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-16,13140757,雪詠,yukiyomi,5,78,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-16,11583083,夏目羊,hitsuji_natsume,10,50,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-16,12197172,緑どんぐり,green_donguri,13,62,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-17,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,37,100,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
