rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
1,this_week,12235137,ねんころ,nenkoro_life,https://note.com/nenkoro_life,True,45,2026-03-23T15:17:53+09:00,2026-03-25T10:29:12+09:00,1135,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
2,this_week,2490558,だんだんありがと@めじゅ,dandan_arigato19,https://note.com/dandan_arigato19,True,14,2026-03-23T06:07:40+09:00,2026-03-25T07:54:54+09:00,70,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
3,this_week,3598618,はしゃも｜感情構造エンジニア,hasyamo,https://note.com/hasyamo,True,11,2026-03-23T19:37:22+09:00,2026-03-25T07:17:36+09:00,275,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
4,this_week,12232616,デジさしみ | IT現場の効率家,digital_sashimi,https://note.com/digital_sashimi,True,7,2026-03-23T00:50:19+09:00,2026-03-25T07:48:49+09:00,444,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
5,this_week,13574554,ホンネタロウ,akmistpruqr123,https://note.com/akmistpruqr123,True,7,2026-03-23T00:51:30+09:00,2026-03-25T06:08:32+09:00,384,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
6,this_week,6843325,ゆを｜作家🪽落下絵師,tibi_kuri,https://note.com/tibi_kuri,True,5,2026-03-24T18:11:54+09:00,2026-03-25T08:45:03+09:00,526,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
7,this_week,13278970,AIちゃん@ゼロから始めるAIイラスト収益化,ai_labo_chan,https://note.com/ai_labo_chan,True,5,2026-03-23T00:46:49+09:00,2026-03-25T07:36:08+09:00,456,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
8,this_week,6312735,ピナクル,modern_holly38,https://note.com/modern_holly38,True,5,2026-03-23T01:42:21+09:00,2026-03-25T06:54:20+09:00,321,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
9,this_week,12983172,masaya,10colorful,https://note.com/10colorful,True,5,2026-03-23T20:30:23+09:00,2026-03-25T06:25:26+09:00,1037,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
10,this_week,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,https://note.com/hunk_shuntana,True,5,2026-03-23T08:31:51+09:00,2026-03-25T06:06:23+09:00,360,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
11,this_week,11782803,心野けいか🐹（ハムスターの人）,koko_kei,https://note.com/koko_kei,True,5,2026-03-23T09:28:24+09:00,2026-03-24T07:02:58+09:00,1263,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
12,this_week,11891363,みまん,mimanllyy1966,https://note.com/mimanllyy1966,True,4,2026-03-23T09:48:01+09:00,2026-03-25T09:59:35+09:00,17,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
13,this_week,12521570,しろのある,shirono_aru,https://note.com/shirono_aru,True,4,2026-03-23T11:54:31+09:00,2026-03-25T08:43:37+09:00,3487,2026-03-25T11:30:03.586034+09:00,2026-03-23T00:00:00+09:00,2026-03-25T11:07:17+09:00
