rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
1,last_week,2490558,だんだんありがと@めじゅ,dandan_arigato19,https://note.com/dandan_arigato19,True,16,2026-03-02T08:17:58+09:00,2026-03-08T01:11:54+09:00,44,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
2,last_week,13287179,俊,nifty_daisy5185,https://note.com/nifty_daisy5185,True,11,2026-03-02T08:42:38+09:00,2026-03-08T19:18:11+09:00,974,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
3,last_week,10600360,うかりハチベエ,cute_toad7393,https://note.com/cute_toad7393,True,10,2026-03-02T13:43:27+09:00,2026-03-06T20:07:03+09:00,283,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
4,last_week,12235137,ねんころ,nenkoro_life,https://note.com/nenkoro_life,True,9,2026-03-02T09:31:43+09:00,2026-03-08T23:40:07+09:00,1063,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
5,last_week,3598618,はしゃも｜感情構造エンジニア,hasyamo,https://note.com/hasyamo,True,9,2026-03-02T07:43:21+09:00,2026-03-08T22:44:01+09:00,215,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
6,last_week,12046208,週間ゆめの｜ゆめの結人,brisk_mole9005,https://note.com/brisk_mole9005,True,9,2026-03-02T07:29:07+09:00,2026-03-08T19:29:37+09:00,897,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
7,last_week,8107746,葉月 れお,hazuki_leo,https://note.com/hazuki_leo,True,9,2026-03-02T10:27:06+09:00,2026-03-08T17:56:17+09:00,75,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
8,last_week,11604360,∞ isshin×DAI｜感性と未来の声,northlight_voice,https://note.com/northlight_voice,True,9,2026-03-02T14:29:25+09:00,2026-03-08T17:38:14+09:00,861,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
9,last_week,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,https://note.com/hunk_shuntana,True,9,2026-03-02T11:38:41+09:00,2026-03-08T16:30:37+09:00,299,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
10,last_week,10569223,Yasuhito Morimoto,yasuhitoo,https://note.com/yasuhitoo,True,8,2026-03-02T10:11:06+09:00,2026-03-08T19:44:56+09:00,1897,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
11,last_week,11968206,もり｜40代から“仕事を軽くする”リスキリング　,mori_reskilling,https://note.com/mori_reskilling,True,8,2026-03-03T07:34:03+09:00,2026-03-08T19:05:40+09:00,500,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
12,last_week,12197172,緑どんぐり,green_donguri,https://note.com/green_donguri,True,8,2026-03-02T07:01:33+09:00,2026-03-08T17:17:13+09:00,1033,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
13,last_week,13197010,どうにか息してる,dounika_ikiteru,https://note.com/dounika_ikiteru,True,8,2026-03-02T07:10:23+09:00,2026-03-08T16:45:50+09:00,449,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
14,last_week,6312735,ピナクル,modern_holly38,https://note.com/modern_holly38,True,8,2026-03-03T18:59:05+09:00,2026-03-08T08:59:43+09:00,302,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
15,last_week,12409337,タピレモ,tapilemo,https://note.com/tapilemo,True,8,2026-03-04T15:20:46+09:00,2026-03-04T15:21:05+09:00,202,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
16,last_week,11436595,ひろ,fair_guppy4626,https://note.com/fair_guppy4626,True,7,2026-03-02T18:45:40+09:00,2026-03-08T18:11:42+09:00,907,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
17,last_week,12589788,ういろう,tsubakinu,https://note.com/tsubakinu,True,7,2026-03-02T09:10:31+09:00,2026-03-08T07:33:45+09:00,376,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
18,last_week,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×ことば）,alive_prawn4206,https://note.com/alive_prawn4206,True,7,2026-03-02T06:52:07+09:00,2026-03-08T06:20:57+09:00,271,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
19,last_week,11870206,みきこ🌿季節の花ごよみ,hirata_mikiko60,https://note.com/hirata_mikiko60,True,7,2026-03-02T22:08:52+09:00,2026-03-07T14:01:58+09:00,532,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
20,last_week,12238138,匿名,royal_gibbon1875,https://note.com/royal_gibbon1875,True,7,2026-03-04T15:20:26+09:00,2026-03-04T15:20:48+09:00,0,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
21,last_week,12521570,しろのある,shirono_aru,https://note.com/shirono_aru,True,6,2026-03-02T07:32:55+09:00,2026-03-08T22:23:34+09:00,3284,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
22,last_week,12232616,デジさしみ | IT現場の効率家,digital_sashimi,https://note.com/digital_sashimi,True,6,2026-03-05T12:38:44+09:00,2026-03-08T20:35:17+09:00,418,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
23,last_week,11058763,濱口貴光@AIとデータサイエンスが好きな薬剤師,pharma_i_cist,https://note.com/pharma_i_cist,True,6,2026-03-02T06:50:26+09:00,2026-03-08T17:21:50+09:00,702,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
24,last_week,7547534,メイシン,mei_shin,https://note.com/mei_shin,True,6,2026-03-03T07:41:31+09:00,2026-03-08T16:08:05+09:00,3738,2026-03-15T10:23:53.252929+09:00,2026-03-02T00:00:00+09:00,2026-03-08T23:59:59.999999+09:00
