rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
1,monthly,12235137,ねんころ@AIクリエイター,nenkoro_life,https://note.com/nenkoro_life,True,88,2026-03-01T08:07:57+09:00,2026-03-30T08:05:38+09:00,1167,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
2,monthly,2490558,だんだんありがと@めじゅ,dandan_arigato19,https://note.com/dandan_arigato19,True,66,2026-03-01T08:11:39+09:00,2026-03-30T11:32:02+09:00,152,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
3,monthly,7547534,メイシン,mei_shin,https://note.com/mei_shin,True,51,2026-03-01T10:02:34+09:00,2026-03-30T08:37:17+09:00,3851,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
4,monthly,3598618,はしゃも｜感情構造エンジニア,hasyamo,https://note.com/hasyamo,True,43,2026-03-01T07:52:44+09:00,2026-03-30T07:11:54+09:00,323,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
5,monthly,8107746,葉月 れお,hazuki_leo,https://note.com/hazuki_leo,True,35,2026-03-01T10:31:42+09:00,2026-03-30T07:39:02+09:00,77,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
6,monthly,13287179,俊,nifty_daisy5185,https://note.com/nifty_daisy5185,True,35,2026-03-02T08:42:38+09:00,2026-03-29T17:19:34+09:00,1039,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
7,monthly,11604360,∞ isshin×DAI｜感性と未来の声,northlight_voice,https://note.com/northlight_voice,True,34,2026-03-02T14:29:25+09:00,2026-03-30T07:46:17+09:00,873,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
8,monthly,11058763,濱口貴光@AIとデータサイエンスが好きな薬剤師,pharma_i_cist,https://note.com/pharma_i_cist,True,32,2026-03-01T08:18:00+09:00,2026-03-30T06:25:55+09:00,756,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
9,monthly,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,https://note.com/hunk_shuntana,True,32,2026-03-01T10:22:25+09:00,2026-03-30T06:17:03+09:00,411,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
10,monthly,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,https://note.com/alive_prawn4206,True,32,2026-03-01T07:43:01+09:00,2026-03-30T06:14:30+09:00,283,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
11,monthly,12232616,デジさしみ | IT現場の効率家,digital_sashimi,https://note.com/digital_sashimi,True,32,2026-03-01T08:33:57+09:00,2026-03-29T08:26:16+09:00,453,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
12,monthly,12775322,カワムラ｜AI擬人化漫画 | ChatGPTのヨシダ,chatgpt_ysd,https://note.com/chatgpt_ysd,True,31,2026-03-01T09:42:55+09:00,2026-03-30T07:26:51+09:00,1328,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
13,monthly,6312735,ピナクル,modern_holly38,https://note.com/modern_holly38,True,30,2026-03-01T16:40:21+09:00,2026-03-30T07:26:57+09:00,325,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
14,monthly,12197172,緑どんぐり,green_donguri,https://note.com/green_donguri,True,30,2026-03-01T08:14:29+09:00,2026-03-30T06:34:31+09:00,1100,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
15,monthly,11891363,みまん,mimanllyy1966,https://note.com/mimanllyy1966,True,29,2026-03-12T22:35:01+09:00,2026-03-30T09:43:22+09:00,63,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
16,monthly,11699261,中野英仁,hidehito_n,https://note.com/hidehito_n,True,29,2026-03-01T07:19:02+09:00,2026-03-30T07:21:21+09:00,2380,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
17,monthly,1825193,井ノ部(inobe) | AI×内向型マーケター,inobe_raku,https://note.com/inobe_raku,True,28,2026-03-01T10:38:30+09:00,2026-03-30T11:13:54+09:00,173,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
18,monthly,11436595,ひろ,fair_guppy4626,https://note.com/fair_guppy4626,True,28,2026-03-01T14:42:00+09:00,2026-03-30T08:37:50+09:00,930,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
19,monthly,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,https://note.com/ai_naoyuki,True,27,2026-03-12T10:07:22+09:00,2026-03-30T06:18:50+09:00,2707,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
20,monthly,10569223,Yasuhito Morimoto,yasuhitoo,https://note.com/yasuhitoo,True,26,2026-03-01T23:55:20+09:00,2026-03-28T06:43:57+09:00,2045,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
21,monthly,12521570,しろのある,shirono_aru,https://note.com/shirono_aru,True,24,2026-03-02T07:32:55+09:00,2026-03-30T11:37:10+09:00,3496,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
22,monthly,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,https://note.com/kotonoha_bridge,True,22,2026-03-07T10:43:13+09:00,2026-03-30T07:46:59+09:00,396,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
23,monthly,7580255,Kinu_AIイラスト,kinu885,https://note.com/kinu885,True,22,2026-03-01T06:45:12+09:00,2026-03-30T06:30:58+09:00,1265,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
24,monthly,3608968,KITAcore｜キタコレ,ktcrs1107,https://note.com/ktcrs1107,True,22,2026-03-12T18:11:45+09:00,2026-03-20T11:00:07+09:00,987,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
25,monthly,12409337,タピレモ,tapilemo,https://note.com/tapilemo,True,21,2026-03-04T15:20:46+09:00,2026-03-13T15:48:58+09:00,202,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
