date,rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count_daily,likes_count_cumulative,follower_count,generated_at,period_start,period_end
2026-09-01,1,monthly_trace,10569223,Yasuhito Morimoto,yasuhitoo,https://note.com/yasuhitoo,True,2,2,3244,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,2,monthly_trace,13878107,うんちゃん,unchan_happy,https://note.com/unchan_happy,True,2,2,657,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,3,monthly_trace,10501834,みふゆ＆成瀬圭｜AIパートナーとnote実験中｜フォロバ100,kei_mifu,https://note.com/kei_mifu,True,2,2,1123,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,4,monthly_trace,13157217,A'me,witty_briony2440,https://note.com/witty_briony2440,True,1,1,302,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,5,monthly_trace,11807623,Anna,modern_lion2880,https://note.com/modern_lion2880,True,1,1,880,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,6,monthly_trace,15443061,DEVICE LAB(デバイスラボ),iphonedaisuki,https://note.com/iphonedaisuki,True,1,1,14,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,7,monthly_trace,9987561,Goodroom代表｜相続・不動産コンサルタント淺井,proper_crocus630,https://note.com/proper_crocus630,True,1,1,811,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,8,monthly_trace,12906286,Minori | ミノリ,open_tulip9172,https://note.com/open_tulip9172,True,1,1,108,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,9,monthly_trace,12358153,Tokyo Visual Moments,dreamy_quail9288,https://note.com/dreamy_quail9288,True,1,1,469,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,10,monthly_trace,12983172,masaya｜テンカラフル,10colorful,https://note.com/10colorful,True,1,1,2072,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,11,monthly_trace,564742,ta_kawano,takawano,https://note.com/takawano,True,1,1,109,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,12,monthly_trace,9474730,uchutune,uchutune3131,https://note.com/uchutune3131,True,1,1,193,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,13,monthly_trace,14551209,いむいむたいむ(30代・2児の父)|歌と言葉,lively_worm6724,https://note.com/lively_worm6724,True,1,1,766,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,14,monthly_trace,14163081,きっこ,clear_sloth1257,https://note.com/clear_sloth1257,True,1,1,98,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,15,monthly_trace,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,https://note.com/kotonoha_bridge,True,1,1,1006,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,16,monthly_trace,12521570,しろのある,shirono_aru,https://note.com/shirono_aru,True,1,1,4076,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,17,monthly_trace,10460304,ちんぱん🐒耳毛〰(˙👄˙)〰,ojisan_chinpan,https://note.com/ojisan_chinpan,True,1,1,1261,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,18,monthly_trace,10332488,ななな｜もやもや減らし屋,alive_prawn4206,https://note.com/alive_prawn4206,True,1,1,409,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,19,monthly_trace,12235137,ねんころ@AIクリエイター,nenkoro_life,https://note.com/nenkoro_life,True,1,1,1972,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,20,monthly_trace,6426263,はるかな,ai_crayon_04,https://note.com/ai_crayon_04,True,1,1,139,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,21,monthly_trace,14672039,ぱんだ,panda321go,https://note.com/panda321go,True,1,1,158,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,22,monthly_trace,12447284,ふな,funa04,https://note.com/funa04,True,1,1,438,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,23,monthly_trace,12439745,ぽちょ研究所,pochanglab,https://note.com/pochanglab,True,1,1,917,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,24,monthly_trace,14903985,まっちゃ💚AI活用とnote副業ラボ,matcha_aispirit,https://note.com/matcha_aispirit,True,1,1,807,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,25,monthly_trace,5828006,まなつ/突出マイノリティ列伝,tosshutsu_m,https://note.com/tosshutsu_m,True,1,1,8822,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,26,monthly_trace,13642246,やっさん（yasuda）,large_iguana6415,https://note.com/large_iguana6415,True,1,1,1417,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,27,monthly_trace,15358588,オジクエ｜おっさんAIクエスト,ks_ailab,https://note.com/ks_ailab,True,1,1,28,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,28,monthly_trace,12232616,デジさしみ | IT現場の効率家,digital_sashimi,https://note.com/digital_sashimi,True,1,1,1033,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,29,monthly_trace,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,https://note.com/ai_naoyuki,True,1,1,3620,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,30,monthly_trace,13628385,ヘクたろー|緑内障でも「面白い」を残したい男,hekutaro_0520,https://note.com/hekutaro_0520,True,1,1,619,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,31,monthly_trace,13870436,ママ薬剤師HONO,hospital_ph_hono,https://note.com/hospital_ph_hono,True,1,1,913,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,32,monthly_trace,13094187,ミナト汐　＠光と構図のアトリエ,n_kazumai55633,https://note.com/n_kazumai55633,True,1,1,909,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,33,monthly_trace,15454737,ミナ｜AIと仕事を少しラクに,mina_aiwork,https://note.com/mina_aiwork,True,1,1,3,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,34,monthly_trace,5738970,営業fafa | note業界No.1営業マン,kohana1112,https://note.com/kohana1112,True,1,1,1774,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,35,monthly_trace,11583083,夏目羊,hitsuji_natsume,https://note.com/hitsuji_natsume,True,1,1,1943,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,36,monthly_trace,13137374,宇宙珍獣🦄🌬️ユル勇者あかね,lovely_rose3365,https://note.com/lovely_rose3365,True,1,1,2045,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,37,monthly_trace,11058763,濱口貴光@AIとデータサイエンスが好きな薬剤師,pharma_i_cist,https://note.com/pharma_i_cist,True,1,1,1133,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,38,monthly_trace,13043888,空手家パパ,gentle_curlew322,https://note.com/gentle_curlew322,True,1,1,985,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,39,monthly_trace,12197172,緑どんぐり,green_donguri,https://note.com/green_donguri,True,1,1,1922,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,40,monthly_trace,12751168,翠竜　すいりゅう,huge_cougar215,https://note.com/huge_cougar215,True,1,1,209,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,41,monthly_trace,12158291,考える赤柴｜司法書士試験基準点突破,eager_thyme9842,https://note.com/eager_thyme9842,True,1,1,566,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
2026-09-01,42,monthly_trace,13356135,黒い黒パグ,ideal_slug1407,https://note.com/ideal_slug1407,True,1,1,1759,2026-09-01T09:02:56.904293+09:00,2026-09-01T00:00:00+09:00,2026-09-01T08:58:52+09:00
