ranking_type,date,like_user_id,creator_name,creator_urlname,score_daily,score_cumulative,period_start,period_end,generated_at
this_week,2026-05-25,6312735,ピナクル,modern_holly38,8,8,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-25,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,17,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-25,8107746,葉月 れお,hazuki_leo,8,8,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-25,13900618,sophie,scribble_1000,14,14,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-25,9670477,yonaka,eco_creep8839,0,0,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-26,6312735,ピナクル,modern_holly38,0,8,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-26,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,34,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-26,8107746,葉月 れお,hazuki_leo,0,8,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-26,13900618,sophie,scribble_1000,17,31,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-26,9670477,yonaka,eco_creep8839,0,0,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-27,6312735,ピナクル,modern_holly38,105,113,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-27,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,51,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-27,8107746,葉月 れお,hazuki_leo,85,93,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-27,13900618,sophie,scribble_1000,14,44,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-27,9670477,yonaka,eco_creep8839,0,0,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-28,6312735,ピナクル,modern_holly38,8,121,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-28,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,68,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-28,8107746,葉月 れお,hazuki_leo,8,101,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-28,13900618,sophie,scribble_1000,14,58,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-28,9670477,yonaka,eco_creep8839,0,0,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-29,6312735,ピナクル,modern_holly38,16,137,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-29,10332488,ななな｜もやもや減らし屋,alive_prawn4206,34,102,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-29,8107746,葉月 れお,hazuki_leo,8,109,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-29,13900618,sophie,scribble_1000,34,92,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-29,9670477,yonaka,eco_creep8839,0,0,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-30,6312735,ピナクル,modern_holly38,5,142,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-30,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,119,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-30,8107746,葉月 れお,hazuki_leo,8,117,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-30,13900618,sophie,scribble_1000,14,105,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-30,9670477,yonaka,eco_creep8839,105,105,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-31,6312735,ピナクル,modern_holly38,0,142,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-31,10332488,ななな｜もやもや減らし屋,alive_prawn4206,8,128,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-31,8107746,葉月 れお,hazuki_leo,5,122,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-31,13900618,sophie,scribble_1000,8,114,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
this_week,2026-05-31,9670477,yonaka,eco_creep8839,0,105,2026-05-25T00:00:00+09:00,2026-05-31T20:11:30.808550+09:00,2026-05-31T20:11:30.808550+09:00
last_week,2026-05-18,13342222,青空 和平,brisk_viola3314,35,35,2026-05-18T00:00:00+09:00,2026-05-24T23:59:59.999999+09:00,2026-05-31T20:11:30.808550+09:00
last_week,2026-05-18,6468528,AKIHIRO｜虹色の地球,wakuwakugroup3,105,105,2026-05-18T00:00:00+09:00,2026-05-24T23:59:59.999999+09:00,2026-05-31T20:11:30.808550+09:00
last_week,2026-05-18,12229510,ささお,sasao_66,0,0,2026-05-18T00:00:00+09:00,2026-05-24T23:59:59.999999+09:00,2026-05-31T20:11:30.808550+09:00
last_week,2026-05-18,10332488,ななな｜もやもや減らし屋,alive_prawn4206,17,17,2026-05-18T00:00:00+09:00,2026-05-24T23:59:59.999999+09:00,2026-05-31T20:11:30.808550+09:00
last_week,2026-05-18,13697745,しいと,siito_a,0,0,2026-05-18T00:00:00+09:00,2026-05-24T23:59:59.999999+09:00,2026-05-31T20:11:30.808550+09:00
