rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
1,this_week,7547534,メイシン,mei_shin,https://note.com/mei_shin,True,6,2026-04-07T05:29:13+09:00,2026-04-07T06:29:27+09:00,3865,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
2,this_week,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,https://note.com/ai_naoyuki,True,4,2026-04-06T06:21:27+09:00,2026-04-07T05:57:28+09:00,2754,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
3,this_week,13094187,ミナト汐　＠光と構図のアトリエ,n_kazumai55633,https://note.com/n_kazumai55633,True,3,2026-04-06T06:54:39+09:00,2026-04-07T09:44:40+09:00,357,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
4,this_week,2490558,だんだんありがと@めじゅ,dandan_arigato19,https://note.com/dandan_arigato19,True,3,2026-04-06T06:58:28+09:00,2026-04-07T07:26:06+09:00,184,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
5,this_week,3598618,はしゃも｜感情構造エンジニア,hasyamo,https://note.com/hasyamo,True,3,2026-04-06T06:56:50+09:00,2026-04-07T07:07:24+09:00,347,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
6,this_week,11699261,中野英仁,hidehito_n,https://note.com/hidehito_n,True,3,2026-04-06T07:03:39+09:00,2026-04-07T06:57:30+09:00,2406,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
7,this_week,12197172,緑どんぐり,green_donguri,https://note.com/green_donguri,True,3,2026-04-06T03:20:04+09:00,2026-04-07T06:22:27+09:00,1158,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
8,this_week,10069756,うどあり│キャリア逆転の美学,udoari_imagine,https://note.com/udoari_imagine,True,2,2026-04-06T18:25:47+09:00,2026-04-07T10:06:19+09:00,342,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
9,this_week,9933409,誠実に、ひたむきに,real_hare9943,https://note.com/real_hare9943,True,2,2026-04-06T08:44:44+09:00,2026-04-07T09:54:02+09:00,2621,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
10,this_week,12262178,おっぽ,oppo_oppo,https://note.com/oppo_oppo,True,2,2026-04-06T06:34:36+09:00,2026-04-07T09:40:59+09:00,296,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
11,this_week,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,https://note.com/hunk_shuntana,True,2,2026-04-06T06:50:04+09:00,2026-04-07T08:44:21+09:00,452,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
12,this_week,1825193,井ノ部(inobe) | AI×内向型マーケター,inobe_raku,https://note.com/inobe_raku,True,2,2026-04-06T11:45:04+09:00,2026-04-07T08:19:24+09:00,183,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
13,this_week,12589788,ういろう,tsubakinu,https://note.com/tsubakinu,True,2,2026-04-06T08:33:45+09:00,2026-04-07T08:00:55+09:00,414,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
14,this_week,8107746,葉月 れお,hazuki_leo,https://note.com/hazuki_leo,True,2,2026-04-06T10:40:53+09:00,2026-04-07T07:40:23+09:00,74,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
15,this_week,13723919,アプリケンゴ@40代独立目指す,applikengo_25626,https://note.com/applikengo_25626,True,2,2026-04-06T07:07:49+09:00,2026-04-07T07:39:45+09:00,211,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
16,this_week,12775322,カワムラ｜AI擬人化漫画 | ChatGPTのヨシダ,chatgpt_ysd,https://note.com/chatgpt_ysd,True,2,2026-04-06T07:12:44+09:00,2026-04-07T07:25:20+09:00,1389,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
17,this_week,4877017,須川元介/情報翻訳家,skagenavi,https://note.com/skagenavi,True,2,2026-04-06T08:19:33+09:00,2026-04-07T07:19:22+09:00,2126,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
18,this_week,10621432,sc_fun🎈｜Webライター×生成AI画像クリエイター×クイズ作家｜ファンタジー愛好家　毎日投稿😺,sc_fun,https://note.com/sc_fun,True,2,2026-04-06T08:39:19+09:00,2026-04-07T07:09:22+09:00,2088,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
19,this_week,12235137,ねんころ@AIクリエイター,nenkoro_life,https://note.com/nenkoro_life,True,2,2026-04-06T10:26:01+09:00,2026-04-07T06:55:39+09:00,1199,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
20,this_week,11058763,濱口貴光@AIとデータサイエンスが好きな薬剤師,pharma_i_cist,https://note.com/pharma_i_cist,True,2,2026-04-06T07:25:43+09:00,2026-04-07T06:49:05+09:00,773,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
21,this_week,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,https://note.com/kotonoha_bridge,True,2,2026-04-06T07:25:50+09:00,2026-04-07T06:39:28+09:00,436,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
22,this_week,12983172,masaya,10colorful,https://note.com/10colorful,True,2,2026-04-06T06:27:02+09:00,2026-04-07T06:30:15+09:00,1093,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
23,this_week,10569223,Yasuhito Morimoto,yasuhitoo,https://note.com/yasuhitoo,True,2,2026-04-06T08:14:42+09:00,2026-04-07T06:27:54+09:00,2123,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
24,this_week,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,https://note.com/alive_prawn4206,True,2,2026-04-06T06:17:19+09:00,2026-04-07T05:59:17+09:00,287,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
25,this_week,6312735,ピナクル,modern_holly38,https://note.com/modern_holly38,True,2,2026-04-06T20:41:08+09:00,2026-04-06T20:43:49+09:00,349,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
26,this_week,11807623,Anna,modern_lion2880,https://note.com/modern_lion2880,True,2,2026-04-06T14:12:10+09:00,2026-04-06T16:22:33+09:00,270,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
27,this_week,14031903,フーガ（短編小説＆詩を投稿）,cozy_parrot2897,https://note.com/cozy_parrot2897,True,2,2026-04-06T09:45:03+09:00,2026-04-06T10:38:41+09:00,29,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
28,this_week,13481771,AIナビゲーター・ナビ子,ai_navico,https://note.com/ai_navico,True,2,2026-04-06T07:26:31+09:00,2026-04-06T07:27:17+09:00,13,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
29,this_week,13574554,ホンネタロウ AI漫画,akmistpruqr123,https://note.com/akmistpruqr123,True,2,2026-04-06T03:14:43+09:00,2026-04-06T06:33:09+09:00,440,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
30,this_week,11389194,むみま｜道具道,mumima,https://note.com/mumima,True,1,2026-04-07T10:14:59+09:00,2026-04-07T10:14:59+09:00,1406,2026-04-07T11:03:54.639348+09:00,2026-04-06T00:00:00+09:00,2026-04-07T10:53:38+09:00
