rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
1,total,12235137,ねんころ@AIクリエイター,nenkoro_life,https://note.com/nenkoro_life,True,284,2025-11-11T23:14:40+09:00,2026-05-01T09:43:25+09:00,1301,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
2,total,11058763,濱口貴光@AIとデータサイエンスが好きな薬剤師,pharma_i_cist,https://note.com/pharma_i_cist,True,252,2025-09-27T19:15:57+09:00,2026-05-02T08:41:38+09:00,836,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
3,total,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,https://note.com/hunk_shuntana,True,221,2025-10-03T11:49:37+09:00,2026-04-30T12:20:50+09:00,560,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
4,total,12197172,緑どんぐり,green_donguri,https://note.com/green_donguri,True,206,2025-11-07T06:55:33+09:00,2026-05-02T08:28:20+09:00,1275,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
5,total,10569223,Yasuhito Morimoto,yasuhitoo,https://note.com/yasuhitoo,True,179,2025-10-12T11:53:27+09:00,2026-05-01T08:22:19+09:00,2389,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
6,total,2490558,だんだんありがと@めじゅ,dandan_arigato19,https://note.com/dandan_arigato19,True,177,2026-01-29T17:59:24+09:00,2026-05-02T10:08:22+09:00,239,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
7,total,7547534,メイシン,mei_shin,https://note.com/mei_shin,True,160,2025-11-22T19:33:22+09:00,2026-04-28T23:26:40+09:00,3966,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
8,total,11604360,∞ isshin×DAI｜感性と未来の声,northlight_voice,https://note.com/northlight_voice,True,158,2025-09-28T20:02:03+09:00,2026-05-02T07:36:18+09:00,918,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
9,total,3598618,はしゃも｜感情構造エンジニア,hasyamo,https://note.com/hasyamo,True,144,2025-12-25T07:32:11+09:00,2026-05-02T09:12:08+09:00,404,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
10,total,12775322,カワムラ｜AI擬人化漫画 | ChatGPTのヨシダ,chatgpt_ysd,https://note.com/chatgpt_ysd,True,132,2025-12-25T08:07:36+09:00,2026-05-02T09:08:01+09:00,1611,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
11,total,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,https://note.com/alive_prawn4206,True,130,2025-12-08T05:50:27+09:00,2026-05-02T07:24:50+09:00,296,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
12,total,12409337,タピレモ,tapilemo,https://note.com/tapilemo,True,125,2025-10-05T14:20:32+09:00,2026-04-02T08:13:13+09:00,203,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
13,total,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,https://note.com/ai_naoyuki,True,120,2025-12-19T19:02:12+09:00,2026-05-02T13:46:28+09:00,2875,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
14,total,6312735,ピナクル,modern_holly38,https://note.com/modern_holly38,True,107,2025-12-19T01:35:24+09:00,2026-05-02T14:50:48+09:00,367,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
15,total,11583083,夏目羊,hitsuji_natsume,https://note.com/hitsuji_natsume,True,107,2025-10-20T17:58:53+09:00,2026-04-30T10:38:38+09:00,1236,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
16,total,8107746,葉月 れお,hazuki_leo,https://note.com/hazuki_leo,True,97,2026-02-05T23:33:26+09:00,2026-05-02T08:22:22+09:00,82,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
17,total,12648246,miyuri,miyuriii,https://note.com/miyuriii,True,97,2025-12-01T22:55:20+09:00,2026-04-14T17:57:28+09:00,725,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
18,total,13140757,雪詠｜ゆきよみ,yukiyomi,https://note.com/yukiyomi,True,92,2026-03-23T00:00:47+09:00,2026-05-02T09:43:27+09:00,719,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
19,total,7580255,Kinu_AIイラスト,kinu885,https://note.com/kinu885,True,89,2025-10-28T18:55:45+09:00,2026-04-28T11:27:13+09:00,1516,2026-05-02T16:58:03.616996+09:00,2024-06-10T20:07:53+09:00,2026-05-02T16:53:58+09:00
