key,title,累計PV,累計スキ,前日比PV,前日比スキ,-7日PV,-6日PV,-5日PV,-4日PV,-3日PV,-2日PV,-1日PV,-7日スキ,-6日スキ,-5日スキ,-4日スキ,-3日スキ,-2日スキ,-1日スキ,7日合計PV,7日合計スキ,稼働数PV,稼働数スキ,トレンドスコア,状態,集計日
n4a728c90e80a,AIイラストで“その人らしさ”が出せへん時、どう向き合うか｜画像生成AI｜デザイン｜創作｜,374,62,84,8,0,0,0,0,0,290,84,0,0,0,0,0,54,8,374,62,2,2,374,🔥 急上昇,2026-04-13
n20327bbb52a0,朝の曲に「お前、ほんまに本音で生きてるか」って言われた気がした｜エッセイ｜気づき｜人生｜コラム｜,515,61,38,4,0,0,0,0,356,121,38,0,0,0,0,42,15,4,515,61,3,3,515,🔥 急上昇,2026-04-13
n752e308d78e3,AIに「こんな感じで作って」が一発で伝わる魔法のファイルを知ってる？｜生成AI｜デザイン｜AI活用｜,408,35,13,0,0,268,60,41,11,15,13,0,23,6,4,1,1,0,408,35,6,5,408,🔥 急上昇,2026-04-13
n0c975488dac3,顔だけのリファレンスシートを作る｜実写→イラスト｜イラスト→実写｜AI活用｜創作｜,293,18,8,1,0,0,0,0,220,65,8,0,0,0,0,14,3,1,293,18,3,3,293,🔥 急上昇,2026-04-13
n53ddb87df48b,コピペでイチコロ。「アップスケールなめててごめん」イラストを実写化するプロンプト全公開,773,17,4,0,4,0,4,3,20,14,4,0,0,0,0,0,0,0,49,0,6,0,28,🔥 急上昇,2026-04-13
n2f90b0f875ae,備忘録｜発行済み｜ 会員証｜ダルメイ｜,706,49,4,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,8,0,4,0,-43,🟢 継続,2026-04-13
n4d46f4c63f16,【AIイラスト/アート】ドラゴンシスターズ『赤』,197,18,4,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,5,1,2,1,5,🔥 急上昇,2026-04-13
nc6a83f270ae6,【無料公開】Nano Banana Pro キャラクターシート生成プロンプト集,1064,54,3,0,11,31,9,17,8,9,3,0,1,0,0,0,0,0,88,1,7,1,31,🔥 急上昇,2026-04-13
nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ,1312,468,3,1,7,41,13,3,7,1,3,1,1,2,1,2,0,1,75,8,7,6,43,🔥 急上昇,2026-04-13
n14d128958abc,3つの見せ方で楽しむファンタジーキャラクター制作ログ｜デザイン｜創作｜試行錯誤｜最近の学び｜,586,85,3,0,10,0,4,3,6,3,3,1,0,1,0,0,1,0,29,3,6,3,-528,🟢 継続,2026-04-13
n26143a47c054,【AIアート/イラスト】Silent Data Diver,113,19,3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,1,2,1,4,🔥 急上昇,2026-04-13
n214601fceec8,自己紹介を1枚図解にする「YAMLプロンプト」入門｜Gemini×画像生成AIで5分完成,491,33,2,0,4,1,6,2,0,1,2,0,0,0,0,0,0,0,16,0,6,0,-9,🟢 継続,2026-04-13
ne42952207820,note運営を“感覚”から“見える化”へ｜GitHub Pagesでダッシュボードを作る｜データ分析｜,607,64,2,0,3,0,1,1,2,0,2,0,0,0,0,0,0,0,9,0,5,0,-7,🟢 継続,2026-04-13
